é¸îgêî,êUïù
0.216450216,4.796992301
0.432900433,0.452993107
0.649350649,1.488741392
0.865800866,2.729905557
1.082251082,3.080108177
1.298701299,3.500448193
1.515151515,4.156045939
1.731601732,0.501221751
1.948051948,1.398281257
2.164502165,1.355258412
2.380952381,3.744810387
2.597402597,3.324214507
2.813852814,1.468656417
3.03030303,1.507847964
3.246753247,1.14152174
3.463203463,0.159758508
3.67965368,1.086734871
3.896103896,1.399618239
4.112554113,0.576125696
4.329004329,1.015781064
4.545454545,0.590445917
4.761904762,1.053079328
4.978354978,0.132501929
5.194805195,0.494056002
5.411255411,0.675889951
5.627705628,1.672221217
5.844155844,1.971269921
6.060606061,1.036353951
6.277056277,0.961170539
6.493506494,1.033964099
6.70995671,0.697885116
6.926406926,0.747940517
7.142857143,1.011138958
7.359307359,1.649581265
7.575757576,1.068233607
7.792207792,0.387722151
8.008658009,0.336280141
8.225108225,1.399290049
8.441558442,1.445676
8.658008658,0.858137984
8.874458874,1.311790328
9.090909091,1.175641791
9.307359307,0.554841283
9.523809524,0.446959835
9.74025974,0.186573635
9.956709957,1.061210489
10.17316017,0.716295895
10.38961039,0.980359983
10.60606061,0.765127342
10.82251082,1.148876973
11.03896104,1.139110154
11.25541126,0.411504871
11.47186147,0.642221907
11.68831169,0.360568629
11.9047619,0.504667887
12.12121212,0.684947571
12.33766234,1.126413365
12.55411255,0.744750203
12.77056277,1.142890851
12.98701299,1.127040924
13.2034632,0.883856057
13.41991342,0.683912803
13.63636364,0.323441855
13.85281385,0.481444547
